ville,canton,prix_metre_carre_moyen_louer,prix_metre_carre_moyen_acheter,ROI
Obfelden,ZH,23.02,8640.4,3.2
Wil,ZH,19.82,7255.75,3.28
Winkel,ZH,21.39,9535.26,2.69
Stäfa,ZH,20.59,12761.8,1.94
Pfäffikon,ZH,21.39,9168.47,2.8
Uster,ZH,21.04,9736.07,2.59
Winterthur,ZH,25.21,10111.41,2.99
Urdorf,ZH,22.84,9733.66,2.82
Zürich,ZH,60.71,13342.8,5.46
Langenthal,BE,13.35,4000.0,4.0
Thunstetten,BE,13.82,4800.0,3.46
Muri bei Bern,BE,20.16,15186.92,1.59
Saint-Imier,BE,11.19,3461.69,3.88
Sonvilier,BE,10.51,4489.3,2.81
Münchenbuchsee,BE,20.46,6808.51,3.61
Worb,BE,19.44,5732.87,4.07
Frauenkappelen,BE,22.55,9490.41,2.85
Saicourt,BE,9.95,3594.96,3.32
Tavannes,BE,13.76,4077.52,4.05
Twann-Tüscherz,BE,16.48,4434.18,4.46
Spiez,BE,18.79,5930.96,3.8
Toffen,BE,19.08,5864.74,3.9
Lauperswil,BE,16.22,9662.31,2.01
Steffisburg,BE,19.11,6650.25,3.45
Luzern,LU,19.91,8068.84,2.96
Meggen,LU,34.33,16670.91,2.47
Hergiswil,NW,22.74,13868.85,1.97
Zug,ZG,69.1,19312.8,4.29
Les Montets,FR,20.91,6187.9,4.05
Belmont-Broye,FR,17.72,5389.54,3.95
Estavayer,FR,16.97,6521.78,3.12
Cheyres-Châbles,FR,19.99,8693.18,2.76
Siviriez,FR,17.46,6171.91,3.4
Ursy,FR,15.59,6139.09,3.05
Villaz,FR,18.21,6191.79,3.53
Le Pâquier,FR,19.89,6917.55,3.45
Val-de-Charmey,FR,14.43,6914.84,2.5
Avry,FR,17.73,7343.75,2.9
Belfaux,FR,14.15,6652.06,2.55
Corminboeuf,FR,19.28,7897.01,2.93
Cottens,FR,15.04,5421.05,3.33
Granges-Paccot,FR,18.96,6887.34,3.3
Marly,FR,19.04,6990.95,3.27
Matran,FR,19.89,7871.52,3.03
Neyruz,FR,16.85,6125.95,3.3
Villars-sur-Glâne,FR,18.49,8202.9,2.7
Villarsel-sur-Marly,FR,14.98,5526.32,3.25
Gibloux,FR,16.25,5946.64,3.28
Courtepin,FR,16.52,5144.67,3.85
Gurmels,FR,18.06,5804.23,3.73
Düdingen,FR,16.3,7080.65,2.76
Plaffeien,FR,14.64,5244.11,3.35
Tafers,FR,18.04,7363.96,2.94
Wünnewil-Flamatt,FR,15.65,6803.84,2.76
Attalens,FR,15.76,7465.19,2.53
Bossonnens,FR,18.67,7084.59,3.16
Remaufens,FR,20.2,6757.92,3.59
Semsales,FR,18.38,6614.86,3.34
Grenchen,SO,15.1,6273.58,2.89
Bottmingen,BL,21.47,11642.98,2.21
Ettingen,BL,18.17,9484.46,2.3
Münchenstein,BL,29.37,8745.79,4.03
Muttenz,BL,20.05,9960.85,2.42
Pfeffingen,BL,19.19,7559.73,3.05
Therwil,BL,21.12,7761.1,3.27
Zwingen,BL,18.5,4972.91,4.46
Füllinsdorf,BL,16.17,8866.53,2.19
Liestal,BL,18.02,8532.68,2.53
Pratteln,BL,17.53,7589.92,2.77
Ormalingen,BL,16.96,7557.25,2.69
Hölstein,BL,14.02,6130.11,2.74
Schaffhausen,SH,19.23,8741.81,2.64
St. Margrethen,SG,14.93,6198.26,2.89
Thal,SG,17.28,6935.15,2.99
Altstätten,SG,14.22,4348.94,3.92
Rapperswil-Jona,SG,18.5,9345.91,2.38
Eschenbach,SG,17.64,5305.07,3.99
Uzwil,SG,13.63,6495.11,2.52
Waldkirch,SG,14.37,5680.63,3.03
Churwalden,GR,19.79,10624.58,2.24
Baden,AG,30.21,8295.71,4.37
Würenlos,AG,19.97,8382.1,2.86
Wohlen,AG,17.72,7185.76,2.96
Laufenburg,AG,16.06,6548.71,2.94
Rheinfelden,AG,17.13,9165.98,2.24
Aarburg,AG,16.86,6699.13,3.02
Döttingen,AG,38.66,9057.02,5.12
Amriswil,TG,15.02,7283.67,2.48
Sulgen,TG,11.28,8398.17,1.61
Tägerwilen,TG,20.44,6485.96,3.78
Berg,TG,15.33,5401.0,3.4
Arbedo-Castione,TI,15.19,5670.62,3.21
Bellinzona,TI,16.21,5415.71,3.59
Sant'Antonino,TI,14.79,5898.6,3.01
Muralto,TI,18.25,10130.61,2.16
Caslano,TI,20.61,7584.08,3.26
Lugano,TI,28.16,5996.12,5.64
Massagno,TI,24.83,12377.98,2.41
Paradiso,TI,55.82,10269.18,6.52
Torricella-Taverne,TI,13.01,5749.65,2.71
Chiasso,TI,14.89,3805.51,4.7
Mendrisio,TI,17.82,5035.43,4.25
Biasca,TI,11.01,4945.75,2.67
Gambarogno,TI,14.31,7005.41,2.45
Bex,VD,17.97,5863.76,3.68
Leysin,VD,18.29,6172.6,3.56
Ollon,VD,20.44,9786.9,2.51
Ormont-Dessus,VD,20.99,7563.51,3.33
Villeneuve,VD,20.88,7808.41,3.21
Bière,VD,15.57,6527.26,2.86
Féchy,VD,26.2,11874.09,2.65
Avenches,VD,16.52,6955.45,2.85
Vully-les-Lacs,VD,18.43,7053.78,3.14
Chevilly,VD,21.21,7963.17,3.2
Cossonay,VD,23.11,8183.38,3.39
La Sarraz,VD,25.14,5666.94,5.32
Echallens,VD,20.25,6806.71,3.57
Grandson,VD,23.31,9967.3,2.81
Sainte-Croix,VD,14.51,4387.3,3.97
Epalinges,VD,28.49,12082.0,2.83
Lausanne,VD,24.9,8544.06,3.5
Le Mont-sur-Lausanne,VD,26.2,8122.91,3.87
Pully,VD,28.07,14575.66,2.31
Renens,VD,24.26,11679.13,2.49
Romanel-sur-Lausanne,VD,25.56,8559.01,3.58
Forel (Lavaux),VD,20.33,7410.79,3.29
Lutry,VD,25.78,13312.55,2.32
Savigny,VD,27.82,11190.9,2.98
Bourg-en-Lavaux,VD,34.66,13948.77,2.98
Bussigny,VD,25.61,9621.14,3.19
Echandens,VD,23.73,12152.68,2.34
Echichens,VD,17.68,9792.64,2.17
Ecublens,VD,28.45,8292.99,4.12
Lavigny,VD,26.16,7757.5,4.05
Morges,VD,27.27,11094.0,2.95
Saint-Prex,VD,27.39,12552.32,2.62
Saint-Sulpice,VD,29.44,12346.1,2.86
Tolochenaz,VD,22.96,9221.77,2.99
Lucens,VD,18.21,6290.14,3.47
Moudon,VD,17.88,5308.63,4.04
Montanaire,VD,18.06,7333.13,2.96
Arzier-Le Muids,VD,29.0,9049.48,3.85
Begnins,VD,22.84,11896.11,2.3
Chavannes-des-Bois,VD,31.24,10615.38,3.53
Commugny,VD,36.59,15505.68,2.83
Coppet,VD,31.51,13564.57,2.79
Crans,VD,28.05,15856.37,2.12
Givrins,VD,28.16,11192.7,3.02
Gland,VD,27.67,9956.6,3.33
Mies,VD,34.16,23372.58,1.75
Prangins,VD,32.3,13903.24,2.79
La Rippe,VD,19.4,8825.85,2.64
Saint-Cergue,VD,21.54,8035.86,3.22
Tannay,VD,36.74,14404.54,3.06
Baulmes,VD,23.26,4393.76,6.35
Chavornay,VD,23.59,8039.61,3.52
Orbe,VD,18.26,7487.8,2.93
Vallorbe,VD,14.52,4976.46,3.5
Oron,VD,20.02,6525.33,3.68
Payerne,VD,16.62,5647.14,3.53
Valbroye,VD,17.6,6932.07,3.05
Gilly,VD,24.14,9518.23,3.04
Mont-sur-Rolle,VD,28.5,11824.21,2.89
Rolle,VD,21.6,15485.51,1.67
Le Chenit,VD,17.68,4746.54,4.47
Blonay,VD,24.35,10746.0,2.72
Chardonne,VD,23.59,15324.67,1.85
Corseaux,VD,26.02,13717.95,2.28
Jongny,VD,22.09,10807.76,2.45
Montreux,VD,24.59,13333.22,2.21
La Tour-de-Peilz,VD,25.09,12242.71,2.46
Vevey,VD,26.13,10397.22,3.02
Veytaux,VD,20.02,8209.73,2.93
Yverdon-les-Bains,VD,19.7,7725.92,3.06
Yvonand,VD,17.33,6638.76,3.13
Termen,VS,15.14,5719.52,3.18
Ardon,VS,17.67,4879.87,4.34
Chamoson,VS,15.97,5412.53,3.54
Conthey,VS,17.04,5558.9,3.68
Fully,VS,17.03,5680.99,3.6
Leytron,VS,17.39,5896.89,3.54
Riddes,VS,22.63,6662.63,4.08
Saxon,VS,19.59,4646.09,5.06
Collombey-Muraz,VS,18.49,5611.12,3.95
Port-Valais,VS,16.48,5919.93,3.34
Saint-Gingolph,VS,27.76,9181.28,3.63
Val-d'Illiez,VS,21.83,7144.66,3.67
Vionnaz,VS,13.58,4275.92,3.81
Vouvry,VS,16.05,5848.9,3.29
Massongex,VS,17.19,5469.62,3.77
Saint-Maurice,VS,13.85,4450.07,3.73
Vernayaz,VS,17.44,5083.99,4.12
Vérossaz,VS,9.92,4985.8,2.39
Sierre,VS,17.61,5532.3,3.82
Crans-Montana,VS,29.72,11349.06,3.14
Noble-Contrée,VS,15.59,5151.28,3.63
Grimisuat,VS,16.14,5983.48,3.24
Sion,VS,17.77,6153.98,3.46
Visperterminen,VS,17.69,4801.47,4.42
Boudry,NE,16.75,7083.33,2.84
Cortaillod,NE,18.62,8645.47,2.58
Milvignes,NE,17.23,8251.96,2.51
La Grande Béroche,NE,19.24,7811.89,2.96
La Chaux-de-Fonds,NE,12.44,3964.46,3.77
Le Locle,NE,10.24,2925.69,4.2
Neuchâtel,NE,18.37,7432.76,2.97
Saint-Blaise,NE,16.83,7239.26,2.79
La Tène,NE,15.43,7748.39,2.39
Val-de-Ruz,NE,13.99,5232.52,3.21
Val-de-Travers,NE,15.71,3794.07,4.97
Anières,GE,28.63,17719.62,1.94
Bellevue,GE,41.11,13129.8,3.76
Bernex,GE,29.57,10268.09,3.46
Chêne-Bougeries,GE,40.1,18296.73,2.63
Chêne-Bourg,GE,29.85,12917.02,2.77
Collex-Bossy,GE,35.71,9620.89,4.45
Collonge-Bellerive,GE,44.76,18756.44,2.86
Cologny,GE,58.67,24202.7,2.91
Corsier,GE,33.6,17777.5,2.27
Genève,GE,37.26,14692.11,3.04
Genthod,GE,33.59,10924.49,3.69
Le Grand-Saconnex,GE,34.44,13077.58,3.16
Lancy,GE,28.6,11948.17,2.87
Meinier,GE,27.43,12722.03,2.59
Meyrin,GE,30.62,11129.51,3.3
Onex,GE,28.51,13691.77,2.5
Plan-les-Ouates,GE,30.72,12431.76,2.97
Pregny-Chambésy,GE,35.94,16880.34,2.55
Satigny,GE,26.27,9447.3,3.34
Thônex,GE,28.51,12212.42,2.8
Vandoeuvres,GE,52.14,20108.47,3.11
Vernier,GE,39.56,17655.91,2.69
Versoix,GE,31.65,14986.6,2.53
Veyrier,GE,36.11,13382.97,3.24
Courroux,JU,12.92,3125.73,4.96
Develier,JU,13.91,4132.98,4.04
Haute-Sorne,JU,10.93,4362.37,3.01
Saignelégier,JU,12.49,5348.65,2.8
Alle,JU,13.58,4592.59,3.55
Courgenay,JU,12.88,4072.85,3.79
Porrentruy,JU,11.51,3863.73,3.57
La Baroche,JU,8.67,2670.28,3.89
Hautemorges,VD,19.33,9281.66,2.5
Val Mara,TI,22.61,6401.05,4.24
